Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),32768,32768,32768,4,host,,,,,1.0,0.879875,,,2.491935333333333,28238.601480666668,3.0,,,,27.576759258463543,"Square
( M = N = K )"
Cosma(Optimal),32768,32768,32768,8,host,,,,,2.0,0.764266,,,1.902423,37006.31413911111,3.0,,,,36.138978651475696,"Square
( M = N = K )"
Cosma(Optimal),32768,32768,32768,16,host,,,,,4.0,0.804663,,,1.2554501111111112,56280.89376788889,3.0,,,,54.961810320203995,"Square
( M = N = K )"
Cosma(Optimal),36864,36864,36864,2,host,,,,,1.0,0.413409,,,5.333412666666667,18785.932018,3.0,,,,18.345636736328125,"Square
( M = N = K )"
Cosma(Optimal),36864,36864,36864,4,host,,,,,1.0,0.743261,,,2.915301888888889,34368.01961422222,3.0,,,,33.562519154513886,"Square
( M = N = K )"
Cosma(Optimal),36864,36864,36864,8,host,,,,,2.0,0.754796,,,2.2949070000000003,43683.65588577778,3.0,,,,42.65982020095486,"Square
( M = N = K )"
Cosma(Optimal),36864,36864,36864,16,host,,,,,4.0,0.762142,,,1.5050343333333334,66707.11599233333,3.0,,,,65.14366796126302,"Square
( M = N = K )"
Cosma(Optimal),40960,40960,40960,2,host,,,,,1.0,0.423745,,,7.945893666666667,17300.607007666666,3.0,,,,16.895124030924478,"Square
( M = N = K )"
Cosma(Optimal),40960,40960,40960,4,host,,,,,1.0,0.762869,,,4.3134221111111115,31863.094584444447,3.0,,,,31.11630330512153,"Square
( M = N = K )"
Cosma(Optimal),40960,40960,40960,8,host,,,,,2.0,0.736638,,,3.2963253333333333,41762.13984011111,3.0,,,,40.7833396876085,"Square
( M = N = K )"
Cosma(Optimal),40960,40960,40960,16,host,,,,,4.0,0.839966,,,2.091177777777778,65856.23433588889,3.0,,,,64.3127288436415,"Square
( M = N = K )"
Cosma(Optimal),45056,45056,45056,4,host,,,,,1.0,0.775226,,,6.785433222222222,26959.42286022222,3.0,,,,26.327561386935763,"Square
( M = N = K )"
Cosma(Optimal),45056,45056,45056,8,host,,,,,2.0,0.754485,,,5.485391222222223,33359.61656311111,3.0,,,,32.57775054991319,"Square
( M = N = K )"
Cosma(Optimal),45056,45056,45056,16,host,,,,,4.0,0.784406,,,3.1579743333333337,57976.08386633333,3.0,,,,56.61726940071614,"Square
( M = N = K )"
Cosma(Optimal),49152,49152,49152,4,host,,,,,1.0,0.749822,,,7.472004111111111,31784.587992,3.0,,,,31.0396367109375,"Square
( M = N = K )"
Cosma(Optimal),49152,49152,49152,8,host,,,,,2.0,0.749485,,,5.178858222222222,45878.80685188889,3.0,,,,44.803522316297745,"Square
( M = N = K )"
Cosma(Optimal),49152,49152,49152,16,host,,,,,4.0,0.785389,,,3.1635868888888887,75090.52171211112,3.0,,,,73.33058760948352,"Square
( M = N = K )"
Cosma(Optimal),53248,53248,53248,4,host,,,,,1.0,0.756064,,,9.798207555555557,30817.21297088889,3.0,,,,30.09493454188368,"Square
( M = N = K )"
Cosma(Optimal),53248,53248,53248,8,host,,,,,2.0,0.801177,,,7.116102111111112,42439.57295722222,3.0,,,,41.44489546603732,"Square
( M = N = K )"
Cosma(Optimal),53248,53248,53248,16,host,,,,,4.0,0.771099,,,4.169247666666667,72455.66108966667,3.0,,,,70.7574815328776,"Square
( M = N = K )"
Cosma(Optimal),57344,57344,57344,4,host,,,,,1.0,0.736518,,,10.998857888888889,34288.333143888885,3.0,,,,33.48470033582899,"Square
( M = N = K )"
Cosma(Optimal),57344,57344,57344,8,host,,,,,2.0,0.749955,,,7.559146777777777,49900.53724355556,3.0,,,,48.73099340190973,"Square
( M = N = K )"
Cosma(Optimal),57344,57344,57344,16,host,,,,,4.0,0.756008,,,4.626448777777778,81593.13694411112,3.0,,,,79.68079779698351,"Square
( M = N = K )"
Cosma(Optimal),61440,61440,61440,8,host,,,,,2.0,0.7617,,,9.362834555555557,49546.37680222222,3.0,,,,48.38513359592014,"Square
( M = N = K )"
Cosma(Optimal),61440,61440,61440,16,host,,,,,4.0,0.773206,,,5.609616222222223,82788.11479177777,3.0,,,,80.84776835134548,"Square
( M = N = K )"
Cosma(Optimal),65536,65536,65536,8,host,,,,,2.0,0.757703,,,10.77476411111111,52251.20681977778,3.0,,,,51.026569159939235,"Square
( M = N = K )"
Cosma(Optimal),65536,65536,65536,16,host,,,,,4.0,0.778613,,,6.417846777777778,87727.25724422222,3.0,,,,85.67114965256076,"Square
( M = N = K )"
Cosma(Optimal),81920,81920,81920,16,host,,,,,4.0,0.8459805,,,10.803522555555555,101853.71724511111,3.0,,,,99.46652074717882,"Square
( M = N = K )"
Cosma(Optimal),81920,81920,81920,32,host,,,,,8.0,0.793328,,,7.586778777777777,144975.38726522223,3.0,,,,141.5775266261936,"Square
( M = N = K )"
Cosma(Optimal),98304,98304,98304,32,host,,,,,8.0,0.780679,,,12.24927011111111,155180.62324933332,3.0,,,,151.54357739192707,"Square
( M = N = K )"
Cosma(Optimal),114688,114688,114688,32,host,,,,,8.0,0.855327,,,17.222206222222223,175208.03775744446,3.0,,,,171.10159937250435,"Square
( M = N = K )"
PARALiA-Sequential,4096,4096,4096,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0068662,20017.2525789,4.0,0.0,1.0,2.0,19.54809822158203,"Square
( M = N = K )"
PARALiA-Sequential,4096,4096,4096,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0042772999999999995,32138.254625999998,4.0,0.0,1.0,2.0,31.385014283203123,"Square
( M = N = K )"
PARALiA-Sequential,5120,5120,5120,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0077035,34871.4131734,4.0,0.0,1.0,2.0,34.054114427148434,"Square
( M = N = K )"
PARALiA-Sequential,5120,5120,5120,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0048089,55824.4249757,4.0,0.0,1.0,2.0,54.51604001533203,"Square
( M = N = K )"
PARALiA-Sequential,6144,6144,6144,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.008709100000000001,53262.007704400006,4.0,0.0,1.0,2.0,52.01367939882813,"Square
( M = N = K )"
PARALiA-Sequential,6144,6144,6144,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0053482,86736.0125349,4.0,0.0,1.0,2.0,84.70313724111328,"Square
( M = N = K )"
PARALiA-Sequential,7168,7168,7168,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0105988,69500.9178201,4.0,0.0,1.0,2.0,67.87199005869141,"Square
( M = N = K )"
PARALiA-Sequential,7168,7168,7168,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.006846,112979.839148,4.0,0.0,1.0,2.0,110.33187416796875,"Square
( M = N = K )"
PARALiA-Sequential,8192,8192,8192,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0115106,95521.48444870001,4.0,0.0,1.0,2.0,93.2826996569336,"Square
( M = N = K )"
PARALiA-Sequential,8192,8192,8192,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0071224999999999995,164112.1091183,4.0,0.0,1.0,2.0,160.26573156083984,"Square
( M = N = K )"
PARALiA-Sequential,9216,9216,9216,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0148321,106057.7840895,4.0,0.0,1.0,2.0,103.57205477490234,"Square
( M = N = K )"
PARALiA-Sequential,9216,9216,9216,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0084443,185396.9830205,4.0,0.0,1.0,2.0,181.05174123095702,"Square
( M = N = K )"
PARALiA-Sequential,10240,10240,10240,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0176124,122165.9326294,4.0,0.0,1.0,2.0,119.30266858339844,"Square
( M = N = K )"
PARALiA-Sequential,10240,10240,10240,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.011435,192922.659596,4.0,0.0,1.0,2.0,188.40103476171876,"Square
( M = N = K )"
PARALiA-Sequential,11264,11264,11264,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0233639,122849.56186510001,4.0,0.0,1.0,2.0,119.97027525888673,"Square
( M = N = K )"
PARALiA-Sequential,11264,11264,11264,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0136954,208964.3667536,4.0,0.0,1.0,2.0,204.0667644078125,"Square
( M = N = K )"
PARALiA-Sequential,12288,12288,12288,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0280863,132131.420858,4.0,0.0,1.0,2.0,129.03459068164062,"Square
( M = N = K )"
PARALiA-Sequential,12288,12288,12288,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.017903099999999998,211588.27557660002,4.0,0.0,1.0,2.0,206.62917536777346,"Square
( M = N = K )"
PARALiA-Sequential,13312,13312,13312,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0357774,131875.1627914,4.0,0.0,1.0,2.0,128.78433866347657,"Square
( M = N = K )"
PARALiA-Sequential,13312,13312,13312,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.018918,249624.0965216,4.0,0.0,1.0,2.0,243.773531759375,"Square
( M = N = K )"
PARALiA-Sequential,14336,14336,14336,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0459669,128200.40056020001,4.0,0.0,1.0,2.0,125.19570367207032,"Square
( M = N = K )"
PARALiA-Sequential,14336,14336,14336,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0232917,253430.37021460003,4.0,0.0,1.0,2.0,247.49059591269534,"Square
( M = N = K )"
PARALiA-Sequential,15360,15360,15360,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0533542,135845.6131884,4.0,0.0,1.0,2.0,132.66173162929687,"Square
( M = N = K )"
PARALiA-Sequential,15360,15360,15360,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.027867799999999998,260276.3470565,4.0,0.0,1.0,2.0,254.17612017236328,"Square
( M = N = K )"
PARALiA-Sequential,16384,16384,16384,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.0642201,136977.2867427,4.0,0.0,1.0,2.0,133.76688158466797,"Square
( M = N = K )"
PARALiA-Sequential,16384,16384,16384,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.0328086,268129.4913814,4.0,0.0,1.0,2.0,261.8452064271484,"Square
( M = N = K )"
PARALiA-Sequential,20480,20480,20480,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.1316794,130467.7501369,4.0,0.0,1.0,2.0,127.4099122430664,"Square
( M = N = K )"
PARALiA-Sequential,20480,20480,20480,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.06788380000000001,253268.59629739998,4.0,0.0,1.0,2.0,247.33261357167967,"Square
( M = N = K )"
PARALiA-Sequential,24576,24576,24576,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.20912250000000002,141960.6610549,4.0,0.0,1.0,2.0,138.63345806142578,"Square
( M = N = K )"
