Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,DataLocation
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.117444,61648.707251,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.217785,60653.834967,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.287085,59985.271741,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.409815,58836.720190,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.706608,56232.968559,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.109808,61725.753033,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.327096,59605.935938,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.335766,11051.909470,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.197541,18785.240248,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.230793,16078.707163,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.270353,13725.933184,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.286011,12974.488161,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.265985,13951.338051,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.213996,17340.748865,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.298772,12420.345474,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.287228,12919.555860,devices
cuBLASMp,12288,12288,12288,2048,2048,4,2,2,8,0.000001,0.063197,0.000000,0.213285,17398.593997,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.311347,15153.586598,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.284634,16575.749464,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.257893,18294.502085,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.253930,18580.007686,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.380389,12403.160884,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.283955,16615.368359,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.261181,18064.179042,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.300962,15676.465151,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.289581,16292.555745,devices
cuBLASMp,13312,13312,13312,2048,2048,4,2,2,8,0.000001,0.067317,0.000000,0.490884,9611.281356,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.325624,18096.644175,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.312844,18835.893301,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.371781,15849.928742,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.457844,12870.529493,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.296196,19894.559289,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000003,0.299526,19673.411255,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.367355,16040.883711,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.249100,23655.931940,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.419293,14053.888698,devices
cuBLASMp,14336,14336,14336,2048,2048,4,2,2,8,0.000001,0.078479,0.000000,0.343953,17132.263220,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.337413,26069.215514,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.279221,31502.289709,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.310579,28321.621264,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.274663,32025.036171,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.292058,30117.604483,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.275791,31894.089761,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.324869,27075.775488,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.323853,27160.768841,devices
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.413970,21248.160933,devices
