Algo,M,N,K,TotalGPUs,ExecutionTime,GFlops,ALoc,BLoc,CLoc
PARALiA,8192,8192,8192,4,0.016819,65373.185791,0,1,2
PARALiA,8192,8192,8192,4,0.016717,65771.296810,0,1,2
PARALiA,8192,8192,8192,4,0.016692,65869.936846,0,1,2
PARALiA,8192,8192,8192,4,0.016757,65615.952911,0,1,2
PARALiA,8192,8192,8192,4,0.016688,65885.934973,0,1,2
PARALiA,8192,8192,8192,4,0.016656,66013.255345,0,1,2
PARALiA,8192,8192,8192,4,0.016682,65910.417734,0,1,2
PARALiA,8192,8192,8192,4,0.016620,66156.249816,0,1,2
PARALiA,8192,8192,8192,4,0.016627,66127.791027,0,1,2
PARALiA,8192,8192,8192,4,0.016634,66100.304128,0,1,2
PARALiA,8192,8192,8192,4,0.016619,66160.046172,0,1,2
PARALiA,8192,8192,8192,4,0.016640,66076.626860,0,1,2
PARALiA,8192,8192,8192,4,0.016643,66064.321383,0,1,2
PARALiA,8192,8192,8192,4,0.016668,65966.042318,0,1,2
PARALiA,8192,8192,8192,4,0.016661,65993.417645,0,1,2
PARALiA,8192,8192,8192,4,0.016680,65917.954552,0,1,2
PARALiA,8192,8192,8192,4,0.016659,66000.973458,0,1,2
PARALiA,8192,8192,8192,4,0.016699,65843.603918,0,1,2
PARALiA,8192,8192,8192,4,0.016661,65993.417645,0,1,2
PARALiA,9216,9216,9216,4,0.028792,54373.463976,0,1,2
PARALiA,9216,9216,9216,4,0.028739,54473.604253,0,1,2
PARALiA,9216,9216,9216,4,0.028782,54392.381185,0,1,2
PARALiA,9216,9216,9216,4,0.028800,54358.159680,0,1,2
PARALiA,9216,9216,9216,4,0.028774,54407.253944,0,1,2
PARALiA,9216,9216,9216,4,0.028795,54367.611316,0,1,2
PARALiA,9216,9216,9216,4,0.028762,54429.803930,0,1,2
PARALiA,9216,9216,9216,4,0.028728,54494.400192,0,1,2
PARALiA,9216,9216,9216,4,0.028786,54384.272199,0,1,2
PARALiA,9216,9216,9216,4,0.028218,55479.263713,0,1,2
PARALiA,9216,9216,9216,4,0.024248,64562.975101,0,1,2
PARALiA,9216,9216,9216,4,0.024064,65056.159164,0,1,2
PARALiA,9216,9216,9216,4,0.024815,63087.866726,0,1,2
PARALiA,9216,9216,9216,4,0.024486,63934.959949,0,1,2
PARALiA,9216,9216,9216,4,0.024483,63943.053849,0,1,2
PARALiA,9216,9216,9216,4,0.024235,64597.273527,0,1,2
PARALiA,9216,9216,9216,4,0.024366,64249.633134,0,1,2
PARALiA,9216,9216,9216,4,0.024809,63103.023917,0,1,2
PARALiA,9216,9216,9216,4,0.024803,63118.188393,0,1,2
PARALiA,9216,9216,9216,4,0.024739,63281.210612,0,1,2
PARALiA,9216,9216,9216,4,0.024288,64456.501425,0,1,2
PARALiA,9216,9216,9216,4,0.024243,64575.673974,0,1,2
PARALiA,9216,9216,9216,4,0.024425,64094.725579,0,1,2
PARALiA,9216,9216,9216,4,0.024671,63455.500268,0,1,2
PARALiA,9216,9216,9216,4,0.024485,63938.072745,0,1,2
PARALiA,9216,9216,9216,4,0.024467,63984.801083,0,1,2
PARALiA,9216,9216,9216,4,0.024369,64242.089958,0,1,2
PARALiA,9216,9216,9216,4,0.024677,63440.173296,0,1,2
PARALiA,9216,9216,9216,4,0.024624,63576.536408,0,1,2
PARALiA,9216,9216,9216,4,0.024491,63922.511796,0,1,2
PARALiA,9216,9216,9216,4,0.024423,64099.731122,0,1,2
PARALiA,9216,9216,9216,4,0.024439,64057.833830,0,1,2
PARALiA,9216,9216,9216,4,0.024851,62996.471877,0,1,2
PARALiA,9216,9216,9216,4,0.024641,63532.861064,0,1,2
PARALiA,9216,9216,9216,4,0.024712,63350.811457,0,1,2
PARALiA,9216,9216,9216,4,0.024440,64055.334231,0,1,2
PARALiA,9216,9216,9216,4,0.024650,63509.510172,0,1,2
PARALiA,9216,9216,9216,4,0.024632,63556.229134,0,1,2
PARALiA,9216,9216,9216,4,0.024712,63350.200258,0,1,2
PARALiA,9216,9216,9216,4,0.024847,63006.748133,0,1,2
PARALiA,9216,9216,9216,4,0.024281,64474.855725,0,1,2
PARALiA,9216,9216,9216,4,0.024808,63105.449743,0,1,2
PARALiA,9216,9216,9216,4,0.024842,63018.842139,0,1,2
PARALiA,9216,9216,9216,4,0.024496,63908.824425,0,1,2
PARALiA,9216,9216,9216,4,0.024305,64411.609118,0,1,2
PARALiA,9216,9216,9216,4,0.024692,63401.582148,0,1,2
PARALiA,9216,9216,9216,4,0.024653,63502.139772,0,1,2
PARALiA,9216,9216,9216,4,0.024659,63486.790265,0,1,2
PARALiA,9216,9216,9216,4,0.024711,63353.256372,0,1,2
PARALiA,10240,10240,10240,4,0.038881,55232.122191,0,1,2
