Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.330676,0.181960,4734.286954,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.332396,0.182503,4709.783627,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.332179,0.181950,4712.873570,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.684943,0.317431,3135.273429,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.416400,0.230264,5157.265911,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.413817,0.229101,5189.451305,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.403840,0.228454,5317.655703,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.392127,0.229168,5476.504989,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.390525,0.228831,5498.964480,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.399848,0.228201,5370.752127,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.391872,0.227907,5480.061979,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.396623,0.228274,5414.417456,devices
SLATE,10240,10240,10240,1024,1024,2,2,1,4,0.050527,0.393746,0.228968,5453.985926,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.859100,0.380007,3327.086792,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.537517,0.274166,5317.603910,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.518589,0.273989,5511.690913,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.514132,0.273929,5559.471406,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.491516,0.273831,5815.273579,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.501709,0.273027,5697.128322,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.485562,0.272763,5886.582049,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.501366,0.272821,5701.025903,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.497887,0.273568,5740.867878,devices
SLATE,11264,11264,11264,1024,1024,2,2,1,4,0.056762,0.498295,0.273391,5736.159895,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.963028,0.453261,3853.315063,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.608007,0.330374,6103.304712,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.596419,0.328936,6221.882780,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.578358,0.327922,6416.190113,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.582931,0.329054,6365.854387,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.589793,0.328440,6291.784817,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.586823,0.328541,6323.634797,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.580723,0.328822,6390.057971,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.581771,0.328986,6378.545997,devices
SLATE,12288,12288,12288,1024,1024,2,2,1,4,0.032871,0.721069,0.333284,5146.320870,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,1.150546,0.530898,4100.679509,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.749606,0.383817,6294.005341,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.663370,0.381806,7112.199136,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.650733,0.382682,7250.323014,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.647976,0.381291,7281.162805,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.648381,0.381304,7276.622476,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.647420,0.381719,7287.415748,devices
