Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
SLATE,16384,16384,2048,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.77325,,0.4801911,0.2361487,4862.0089604,2.0,,,,4.748055625390625,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,4096,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.47768050000000006,,0.75201975,0.39715385,5699.75847615,2.0,,,,5.566170386865235,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,4096,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.753012,,0.7188619,0.40402750000000004,5479.6764215,2.0,,,,5.351246505371094,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,4096,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.84059,,0.5296733,0.4156149,5345.3806754,2.0,,,,5.220098315820312,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,4096,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.751677,,0.4850966,0.27607919999999997,8011.170241,2.0,,,,7.823408438476562,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,1280,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.446057,,1.4254851,0.2495348,4329.962223799999,2.0,,,,4.228478734179687,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,1280,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.767744,,1.2718421,0.2010188,5399.7306768,2.0,,,,5.2731744890625,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,1280,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.753152,,0.9844548,0.1784846,6119.8356622,2.0,,,,5.976402013867188,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,1280,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.767882,,0.8865263000000001,0.1350038,8038.8121679000005,2.0,,,,7.850402507714844,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,2560,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.439382,,1.3844327,0.4256868,5065.802294,2.0,,,,4.947072552734375,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,2560,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.761893,,1.2585676,0.3725753,5774.8335734,2.0,,,,5.639485911523438,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,2560,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.77507,,0.9372484,0.31464919999999996,6839.1168928,2.0,,,,6.678825090625,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,2560,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.771232,,0.7576733,0.3378446,6570.465351599999,2.0,,,,6.416470069921874,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,5120,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.42801999999999996,,1.1962125000000001,0.5629381,7723.370135399999,2.0,,,,7.542353647851561,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,5120,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.775228,,1.2150489,0.5949385,7240.1548556,2.0,,,,7.070463726171875,"Fat-thin
( M = N >> K )"
